[8642, 7.409297789075971e-05]
[6279, 7.450495662506999e-05]
[6280, 7.450495662506999e-05]
[9862, 7.451518840114554e-05]
[3215, 7.451888343188112e-05]
[9774, 7.451983832621773e-05]
[8010, 7.452845561641537e-05]
[7372, 7.454426962216874e-05]
[1293, 7.455280060704714e-05]
[4666, 7.455396922271623e-05]
[6618, 7.455425741914284e-05]
[3894, 7.455597295321003e-05]
[668, 7.456631705939919e-05]
[8001, 7.456950959533748e-05]
[6369, 7.457034022811546e-05]
[7613, 7.45741864428362e-05]
[2061, 7.458802096892028e-05]
[4831, 7.459698126935215e-05]
[6143, 7.459721447591486e-05]
[5126, 7.460589548182657e-05]
[5273, 7.461305150668794e-05]
[3800, 7.461733838734834e-05]
[4014, 7.461861026372536e-05]
[4448, 7.46214729404189e-05]
[5563, 7.463999238507574e-05]
[707, 7.464419392741274e-05]
[8516, 7.464839274837317e-05]
[3552, 7.465259635431459e-05]
[8152, 7.466134241531776e-05]
[7389, 7.466794210535795e-05]
[3888, 7.468168379277412e-05]
[3415, 7.469155404260451e-05]
[8250, 7.4695997235464e-05]
[4713, 7.469864718092839e-05]
[5107, 7.470359161088115e-05]
[1333, 7.471193397908644e-05]
[8586, 7.4714247235697e-05]
[8793, 7.471626256093248e-05]
[8832, 7.471649794289164e-05]
[8011, 7.47220581378152e-05]
[2460, 7.472471205641822e-05]
[7121, 7.472501726348273e-05]
[2614, 7.474138879727013e-05]
[8137, 7.475623700818531e-05]
[3799, 7.47750325390544e-05]
[1492, 7.477541483955132e-05]
[8203, 7.478281526443725e-05]
[6346, 7.479036344089089e-05]
[3750, 7.479902497941018e-05]
[8870, 7.480407954579834e-05]
[8522, 7.480504205789466e-05]
[5537, 7.4807668373726e-05]
[2923, 7.480939058950636e-05]
[9503, 7.481157959955531e-05]
[6543, 7.481176740324044e-05]
[2312, 7.481837861581963e-05]
[8172, 7.482477504822768e-05]
[4414, 7.482645260257097e-05]
[1374, 7.483014902111455e-05]
[8860, 7.483030066515067e-05]
[4090, 7.483522392408382e-05]
[7031, 7.484028327332814e-05]
[4300, 7.484147693194081e-05]
[4324, 7.484723558807174e-05]
[6870, 7.484729043683429e-05]
[8503, 7.485894264233242e-05]
[8834, 7.485972560892999e-05]
[3450, 7.486051107364152e-05]
[368, 7.487315177837741e-05]
[5379, 7.491596696369501e-05]
[4165, 7.491695169891886e-05]
[9288, 7.492364565836106e-05]
[9010, 7.492701985883734e-05]
[4931, 7.492849561386149e-05]
[1174, 7.493238655526374e-05]
[4744, 7.493507780026196e-05]
[10406, 7.493832122818089e-05]
[1895, 7.494808656510341e-05]
[3840, 7.495434382336105e-05]
[5802, 7.495556567066808e-05]
[9860, 7.496281931874656e-05]
[3232, 7.497274789258757e-05]
[8038, 7.499150505614831e-05]
[2835, 7.499404784430842e-05]
[5141, 7.499466864409221e-05]
[3406, 7.500435819852206e-05]
[7738, 7.501822114001615e-05]
[8765, 7.50260712084757e-05]
[1715, 7.502880686960478e-05]
[7215, 7.503425482520641e-05]
[896, 7.503510390277934e-05]
[10289, 7.503711724502443e-05]
[9859, 7.503788677457056e-05]
[4913, 7.504684665115169e-05]
[6816, 7.504874289719135e-05]
[6817, 7.504874289719135e-05]
[7024, 7.505285749507504e-05]
[5835, 7.50574019086109e-05]
[2994, 7.50641195313667e-05]
[2308, 7.506649135608808e-05]
[4031, 7.508808116208054e-05]
[8059, 7.510337479104911e-05]
[8571, 7.511073417270451e-05]
[4430, 7.511332230426856e-05]
[10349, 7.512192160703734e-05]
[10149, 7.512535309464502e-05]
[7947, 7.512659262279801e-05]
[4189, 7.513231930364322e-05]
[9986, 7.51435000852282e-05]
[5277, 7.514642207753991e-05]
[3591, 7.514764751245396e-05]
[916, 7.516601914817344e-05]
[3231, 7.517327919228268e-05]
[4431, 7.517657986645093e-05]
[2547, 7.518242075424124e-05]
[3149, 7.518337580356763e-05]
[5451, 7.518817278566609e-05]
[7442, 7.519532254755346e-05]
[7061, 7.519607114827351e-05]
[8488, 7.52064737894485e-05]
[8007, 7.520655207886298e-05]
[10207, 7.520836934346165e-05]
[4683, 7.522256500307927e-05]
[2306, 7.52261788601627e-05]
[2184, 7.523321354092042e-05]
[9545, 7.52517210285092e-05]
[2933, 7.525864055807914e-05]
[2586, 7.527015615360004e-05]
[3442, 7.527139435726052e-05]
[8748, 7.527236619138815e-05]
[6859, 7.528854221220302e-05]
[8779, 7.52931663249874e-05]
[10834, 7.529378873822793e-05]
[2601, 7.529885116370206e-05]
[2390, 7.529986383676281e-05]
[681, 7.530267913683784e-05]
[4384, 7.530694030803947e-05]
[5263, 7.53107276472048e-05]
[5265, 7.53107276472048e-05]
[4447, 7.531712672226576e-05]
[8246, 7.531740793724769e-05]
[10045, 7.532115944805503e-05]
[7957, 7.53233164166633e-05]
[5256, 7.532550296493949e-05]
[4290, 7.532826385344786e-05]
[3044, 7.532981389533048e-05]
[1980, 7.534152233276169e-05]
[5531, 7.534520749815586e-05]
[9935, 7.53455724974702e-05]
[6634, 7.53492084096855e-05]
[5084, 7.535967514561434e-05]
[3516, 7.536204872653823e-05]
[8454, 7.536946400287137e-05]
[3472, 7.536983294839696e-05]
[353, 7.537257335845813e-05]
[8525, 7.537599541317371e-05]
[7703, 7.538849006979504e-05]
[5371, 7.539017247161133e-05]
[5532, 7.539243435540788e-05]
[8170, 7.539796953348939e-05]
[404, 7.5404872493972e-05]
[1113, 7.541091590896232e-05]
[7847, 7.541441023185339e-05]
[6736, 7.541936400148102e-05]
[9421, 7.542926368681156e-05]
[10713, 7.542931139440604e-05]
[2255, 7.543066965672825e-05]
[1823, 7.544690212379314e-05]
[1829, 7.544690212379314e-05]
[5559, 7.545323114382059e-05]
[2040, 7.54538182960984e-05]
[3048, 7.545966773335664e-05]
[8787, 7.547310403151954e-05]
[8988, 7.547363399403234e-05]
[6234, 7.547399021960027e-05]
[4845, 7.548329814943337e-05]
[4594, 7.549193512636074e-05]
[1703, 7.549665022987955e-05]
[6224, 7.549833564624563e-05]
[9539, 7.550166171968372e-05]
[9218, 7.551226985255297e-05]
[8750, 7.552035293034647e-05]
[3724, 7.553395371008229e-05]
[3488, 7.55349321421054e-05]
[7547, 7.554254800683734e-05]
[7375, 7.55429768578679e-05]
[9824, 7.554328332375891e-05]
[2155, 7.554532773743254e-05]
[6632, 7.554695472855832e-05]
[1493, 7.555138811804028e-05]
[5161, 7.555277069260798e-05]
[9882, 7.555547976763943e-05]
[6953, 7.556173164691133e-05]
[6947, 7.556193058056817e-05]
[5480, 7.556567622205799e-05]
[4939, 7.556638317294211e-05]
[3203, 7.557841957785122e-05]
[6532, 7.557922850232477e-05]
[5842, 7.55802233952329e-05]
[6917, 7.558528909006265e-05]
[7541, 7.558716179382715e-05]
[4345, 7.559002402302547e-05]
[4747, 7.559490215406069e-05]
[7278, 7.56028835674413e-05]
[8714, 7.561029000991413e-05]
[5054, 7.561483973222572e-05]
[419, 7.561494546548199e-05]
[6839, 7.561554802536542e-05]
[7830, 7.562146944173578e-05]
[9546, 7.563314886789226e-05]
[5459, 7.563602811751794e-05]
[5462, 7.563602811751794e-05]
[3513, 7.563968134487281e-05]
[5727, 7.564541928008615e-05]
[10878, 7.565116131319537e-05]
[7159, 7.565149537054638e-05]
[4172, 7.565496479649227e-05]
[10148, 7.565813016054967e-05]
[5193, 7.56627971526834e-05]
[2016, 7.566382694432314e-05]
[3430, 7.566664653176801e-05]
[9326, 7.566808787615748e-05]
[6220, 7.567318790214554e-05]
[6257, 7.567820747869598e-05]
[1737, 7.568869792978772e-05]
[10196, 7.568971183588655e-05]
[8551, 7.569041599484788e-05]
[9015, 7.569323374282767e-05]
[7679, 7.570131842440718e-05]
[8790, 7.571394006376737e-05]
[4297, 7.571436454149415e-05]
[6052, 7.571468649908326e-05]
[283, 7.57155751540605e-05]
[7236, 7.572315555404472e-05]
[5781, 7.572877585878952e-05]
[318, 7.573220003985262e-05]
[1048, 7.573430758255673e-05]
[2563, 7.575199909229844e-05]
[10084, 7.57582106283759e-05]
[7209, 7.57620610668246e-05]
[7979, 7.576304973690986e-05]
[4175, 7.576922688018705e-05]
[3880, 7.577194825840567e-05]
[4509, 7.57782226990516e-05]
[7178, 7.578479904767375e-05]
[331, 7.578833969176883e-05]
[8827, 7.579510814272335e-05]
[7924, 7.57955682971454e-05]
[8703, 7.579729958562292e-05]
[8587, 7.580344428063072e-05]
[8996, 7.580582394654855e-05]
[7029, 7.58084644850823e-05]
[8282, 7.580977152859292e-05]
[1499, 7.581494969303521e-05]
[9686, 7.58415624603152e-05]
[3929, 7.58455951500201e-05]
[3930, 7.58455951500201e-05]
[7169, 7.585198342632794e-05]
[6717, 7.586625316256874e-05]
[5942, 7.587012255073507e-05]
[8520, 7.587959631580145e-05]
[7127, 7.588057841521767e-05]
[2774, 7.588962958071378e-05]
[2723, 7.589766195064211e-05]
[2724, 7.589766195064211e-05]
[7182, 7.589786314548481e-05]
[3219, 7.590092839957235e-05]
[5212, 7.590729489616599e-05]
[5241, 7.590918355888476e-05]
[4347, 7.590938751239895e-05]
[9658, 7.590996585022255e-05]
[3155, 7.591117018508906e-05]
[6970, 7.591326168685243e-05]
[4126, 7.591413286666368e-05]
[4103, 7.591419516275372e-05]
[3948, 7.592096458948883e-05]
[6702, 7.592386219738464e-05]
[5512, 7.592577929922985e-05]
[5513, 7.592577929922985e-05]
[4793, 7.59263777434066e-05]
[3025, 7.593467978084279e-05]
[3026, 7.593467978084279e-05]
[3030, 7.593467978084279e-05]
[3031, 7.593467978084279e-05]
[269, 7.593660476557543e-05]
[7533, 7.59371192864306e-05]
[8435, 7.59388806799713e-05]
[3291, 7.59504196121866e-05]
[446, 7.59558986774149e-05]
[452, 7.59558986774149e-05]
[6629, 7.595598957556681e-05]
[6744, 7.595661710639481e-05]
[3528, 7.595830996775556e-05]
[5506, 7.59597060889032e-05]
[8070, 7.597332581269587e-05]
[3079, 7.597575605222779e-05]
[10243, 7.598154833648844e-05]
[7980, 7.598549508217573e-05]
[2424, 7.598579896011241e-05]
[10383, 7.598987666302174e-05]
[2355, 7.599900662909684e-05]
[1378, 7.600111858135119e-05]
[7116, 7.600518254036965e-05]
[712, 7.600551825810255e-05]
[6725, 7.601129141361657e-05]
[6084, 7.601284712649775e-05]
[7569, 7.60208632345349e-05]
[7948, 7.602164872221875e-05]
[1720, 7.602564891299253e-05]
[1237, 7.603810898104078e-05]
[1245, 7.603810898104078e-05]
[10139, 7.605380910024249e-05]
[1937, 7.605931752934696e-05]
[9263, 7.606035447582353e-05]
[3257, 7.607422960296222e-05]
[5579, 7.60864014171405e-05]
[2111, 7.608811482054685e-05]
[1007, 7.608946052304266e-05]
[1531, 7.609187370525716e-05]
[2821, 7.60971083069627e-05]
[2130, 7.610689387624876e-05]
[5041, 7.611096036910054e-05]
[3853, 7.611715875964538e-05]
[4288, 7.61202903967888e-05]
[3197, 7.612096417249965e-05]
[7154, 7.612139480337051e-05]
[3508, 7.612317729695648e-05]
[9067, 7.61245654513329e-05]
[8547, 7.612561701291811e-05]
[6193, 7.612816678506838e-05]
[5917, 7.612897739632471e-05]
[1129, 7.613306160147975e-05]
[9999, 7.613629244492498e-05]
[4390, 7.614007670497888e-05]
[6331, 7.61528789124674e-05]
[4701, 7.616409334510897e-05]
[7090, 7.616573750436655e-05]
[8666, 7.616649732281185e-05]
[122, 7.616761927534558e-05]
[8360, 7.61809896053632e-05]
[1543, 7.618825490880103e-05]
[2587, 7.619040230055034e-05]
[2442, 7.619817687242672e-05]
[10194, 7.621150694916886e-05]
[5345, 7.621603960349932e-05]
[1965, 7.62190104111608e-05]
[2557, 7.62191951010682e-05]
[6170, 7.622433187096884e-05]
[4657, 7.622744774400707e-05]
[7092, 7.622799427601291e-05]
[3035, 7.623099397435974e-05]
[2783, 7.623237822275582e-05]
[1291, 7.624717774775593e-05]
[3162, 7.62533065458635e-05]
[8692, 7.625581774879536e-05]
[9229, 7.628015198834415e-05]
[9450, 7.628370654313953e-05]
[7379, 7.628526040089456e-05]
[5587, 7.62872223047117e-05]
[4910, 7.62928059217358e-05]
[3967, 7.629389723517912e-05]
[4320, 7.629868270171742e-05]
[4855, 7.631438924584702e-05]
[9007, 7.63148191784221e-05]
[4041, 7.632231385634126e-05]
[8043, 7.632747618227477e-05]
[4712, 7.634570532868924e-05]
[7177, 7.634843973894752e-05]
[6374, 7.636210840997885e-05]
[4544, 7.636915370210459e-05]
[3146, 7.637166873341076e-05]
[8739, 7.637340610787965e-05]
[7807, 7.638536160636579e-05]
[7329, 7.639257080252467e-05]
[798, 7.640117820649756e-05]
[7736, 7.640881946344415e-05]
[3741, 7.641080440504475e-05]
[8670, 7.64125017039646e-05]
[4858, 7.641726261963894e-05]
[6425, 7.642241013547107e-05]
[5434, 7.642351268127463e-05]
[7277, 7.644273449914567e-05]
[3189, 7.64599965060011e-05]
[5049, 7.646067037522518e-05]
[7193, 7.646103276450756e-05]
[5240, 7.646500582191517e-05]
[2443, 7.646596256514358e-05]
[5657, 7.647381756979566e-05]
[3467, 7.647954169327854e-05]
[6865, 7.648185534600964e-05]
[2802, 7.649322823383836e-05]
[1265, 7.649839809309623e-05]
[8122, 7.650672822628396e-05]
[3918, 7.652161775202156e-05]
[3920, 7.652161775202156e-05]
[6961, 7.652279072567413e-05]
[6480, 7.652311410491891e-05]
[8715, 7.653380562845657e-05]
[8196, 7.655157845323283e-05]
[8408, 7.656421780665771e-05]
[6724, 7.656653693195915e-05]
[5093, 7.657001051199304e-05]
[8938, 7.657815323358858e-05]
[194, 7.658041265228146e-05]
[899, 7.658222401868256e-05]
[3701, 7.6596195071463e-05]
[924, 7.661978638037684e-05]
[5874, 7.662325461468867e-05]
[6716, 7.662636949861737e-05]
[1888, 7.66279514342992e-05]
[5601, 7.663590648636775e-05]
[5466, 7.663700868974031e-05]
[5540, 7.66649412373138e-05]
[4382, 7.667219166549061e-05]
[3623, 7.669925362308006e-05]
[8415, 7.67174339390636e-05]
[5124, 7.67208847667339e-05]
[9131, 7.673219747927781e-05]
[214, 7.673624423809145e-05]
[8700, 7.674010818196344e-05]
[7951, 7.674325780046161e-05]
[7737, 7.676076896526996e-05]
[3256, 7.676446241804258e-05]
[3097, 7.676923840440026e-05]
[2649, 7.678186983253461e-05]
[1859, 7.678379252369307e-05]
[4376, 7.678470339538975e-05]
[7126, 7.679106299492939e-05]
[3391, 7.67916439097832e-05]
[6728, 7.67967535379281e-05]
[2489, 7.680067804387739e-05]
[836, 7.680726510719043e-05]
[5393, 7.680748755464454e-05]
[5394, 7.680748755464454e-05]
[5395, 7.680748755464454e-05]
[5157, 7.680903713355176e-05]
[3824, 7.681601781690979e-05]
[7751, 7.681627125822335e-05]
[5415, 7.681789051301396e-05]
[8600, 7.683436836558455e-05]
[113, 7.683568544091391e-05]
[9790, 7.683867424751607e-05]
[806, 7.68632451113293e-05]
[2082, 7.687098823566699e-05]
[7330, 7.687767228743827e-05]
[9972, 7.688430040271376e-05]
[1523, 7.68868630960949e-05]
[6537, 7.688770113754802e-05]
[5298, 7.689352412046617e-05]
[8439, 7.690757869403227e-05]
[7661, 7.69102765007762e-05]
[1989, 7.692255701998525e-05]
[7674, 7.692828755740164e-05]
[4396, 7.693185404273936e-05]
[5964, 7.694640444030635e-05]
[5565, 7.69467309018217e-05]
[1454, 7.695406200945731e-05]
[1000, 7.695701410249162e-05]
[3757, 7.69654749178369e-05]
[6857, 7.696594807380748e-05]
[5709, 7.698233536393564e-05]
[1677, 7.700191193515015e-05]
[876, 7.701014082567183e-05]
[3972, 7.701292687830063e-05]
[5292, 7.702329400397326e-05]
[9569, 7.703159665839675e-05]
[7053, 7.703852972466392e-05]
[8472, 7.704064275882496e-05]
[5902, 7.705192553145568e-05]
[7734, 7.705230778681026e-05]
[5921, 7.706664574921599e-05]
[6931, 7.707371849871835e-05]
[2194, 7.707662572843537e-05]
[9268, 7.708077808558198e-05]
[6305, 7.708828239445472e-05]
[3849, 7.70894580412711e-05]
[3230, 7.709610638283076e-05]
[8055, 7.709993293986664e-05]
[4922, 7.710363134767515e-05]
[6555, 7.710802278155652e-05]
[3489, 7.712007374182739e-05]
[4371, 7.712560823119606e-05]
[8351, 7.712702108556948e-05]
[6572, 7.712759113546604e-05]
[5189, 7.713058658915566e-05]
[8631, 7.71334487131973e-05]
[2282, 7.713762428697856e-05]
[5819, 7.714903170181759e-05]
[5227, 7.715058506338136e-05]
[5714, 7.715061730531725e-05]
[6005, 7.715118180183633e-05]
[3435, 7.715181617412734e-05]
[4436, 7.715213833835478e-05]
[5044, 7.715493082177894e-05]
[2682, 7.715619457039834e-05]
[5684, 7.71598396060042e-05]
[3511, 7.71673685535315e-05]
[160, 7.71693604620367e-05]
[6384, 7.717827325147799e-05]
[6755, 7.717878964840386e-05]
[6209, 7.71806119788738e-05]
[1119, 7.718073128173009e-05]
[2353, 7.71813935973569e-05]
[5119, 7.718297978644929e-05]
[8340, 7.718384138302438e-05]
[4337, 7.71930776141653e-05]
[7456, 7.7198069856036e-05]
[7921, 7.720634696194083e-05]
[51, 7.721104368046372e-05]
[6002, 7.721841752805807e-05]
[5523, 7.722172210971435e-05]
[3425, 7.722561761490783e-05]
[5763, 7.725506345197385e-05]
[6533, 7.725855948368595e-05]
[872, 7.727325818667337e-05]
[418, 7.727377263016077e-05]
[1951, 7.72825052304906e-05]
[1952, 7.72825052304906e-05]
[1956, 7.72825052304906e-05]
[1957, 7.72825052304906e-05]
[1812, 7.728494781449865e-05]
[9083, 7.728680184290645e-05]
[4410, 7.728839547922338e-05]
[312, 7.729951829470085e-05]
[536, 7.731134729332801e-05]
[8291, 7.731322736450922e-05]
[7880, 7.731533463437097e-05]
[8393, 7.731626941580677e-05]
[4500, 7.733009807130621e-05]
[8958, 7.733297899339674e-05]
[4243, 7.733378328787236e-05]
[7273, 7.734107858208636e-05]
[9226, 7.734943012761546e-05]
[5234, 7.734978719880763e-05]
[6814, 7.735274253798343e-05]
[7108, 7.73552575817891e-05]
[4365, 7.736744741391685e-05]
[8601, 7.738842883625161e-05]
[5721, 7.740016556234073e-05]
[3359, 7.740235849187673e-05]
[690, 7.741392113830571e-05]
[3476, 7.741809228031361e-05]
[4229, 7.7432183972286e-05]
[3293, 7.743729940442971e-05]
[3953, 7.744140341234765e-05]
[4869, 7.745338602098756e-05]
[3746, 7.745392618150118e-05]
[4012, 7.746468575079312e-05]
[755, 7.746483867088384e-05]
[9707, 7.746561175557068e-05]
[5323, 7.746709438633638e-05]
[4007, 7.750758408179334e-05]
[9370, 7.751123838116458e-05]
[3186, 7.751242801643032e-05]
[9114, 7.752668761614691e-05]
[4328, 7.752859221860823e-05]
[3102, 7.75298846286671e-05]
[2566, 7.754088397447707e-05]
[3736, 7.755140904228778e-05]
[5901, 7.755191157642492e-05]
[6678, 7.755856168336126e-05]
[5695, 7.755906713564393e-05]
[5817, 7.755993129616675e-05]
[8794, 7.756270158667768e-05]
[8467, 7.756608540501433e-05]
[2739, 7.756846378684191e-05]
[4700, 7.758312761613437e-05]
[6042, 7.758549164575095e-05]
[7355, 7.759153129809983e-05]
[5604, 7.759995160842929e-05]
[2494, 7.761032250914432e-05]
[2361, 7.761099626092654e-05]
[7496, 7.761384075647142e-05]
[3822, 7.76163378010933e-05]
[7507, 7.763840452182322e-05]
[7522, 7.765065117019413e-05]
[713, 7.765590272544103e-05]
[4777, 7.765692995429822e-05]
[2261, 7.766069583530811e-05]
[9923, 7.766147429360133e-05]
[5803, 7.766730429138277e-05]
[5426, 7.767727387675501e-05]
[1742, 7.768125031750304e-05]
[744, 7.768744333523605e-05]
[9168, 7.768762468954822e-05]
[4648, 7.768762635807343e-05]
[7462, 7.769617325034648e-05]
[8459, 7.769735805533188e-05]
[6115, 7.769827548263413e-05]
[7052, 7.770069618896186e-05]
[8333, 7.771434740541178e-05]
[4263, 7.774102797296735e-05]
[7808, 7.774507837313716e-05]
[6206, 7.774923424106587e-05]
[3449, 7.775075324125728e-05]
[2530, 7.775124453915221e-05]
[8087, 7.775214301027478e-05]
[4311, 7.775393240004193e-05]
[3265, 7.775552294776897e-05]
[3692, 7.775660941065828e-05]
[6615, 7.775923309891678e-05]
[10435, 7.77784260420211e-05]
[6065, 7.777872960808056e-05]
[3136, 7.777959240993186e-05]
[7249, 7.778170707172782e-05]
[1691, 7.778288532955523e-05]
[7609, 7.778615096610869e-05]
[1783, 7.77863993440697e-05]
[5998, 7.779490726162456e-05]
[4909, 7.779739184218415e-05]
[4587, 7.780431404992924e-05]
[6336, 7.780661793792156e-05]
[3990, 7.780849921414912e-05]
[9525, 7.781191478256311e-05]
[7745, 7.781434541325889e-05]
[227, 7.782021793049202e-05]
[8005, 7.78206001461401e-05]
[9781, 7.782824491194126e-05]
[5090, 7.782946647858123e-05]
[3296, 7.782963095091584e-05]
[3813, 7.78520884559416e-05]
[3495, 7.785478143280576e-05]
[7621, 7.785501280073219e-05]
[8112, 7.786523387908902e-05]
[8113, 7.786523387908902e-05]
[8114, 7.786523387908902e-05]
[8115, 7.786523387908902e-05]
[8116, 7.786523387908902e-05]
[8117, 7.786523387908902e-05]
[8118, 7.786523387908902e-05]
[2021, 7.786662040810946e-05]
[2843, 7.787278093354188e-05]
[2986, 7.787795885694727e-05]
[2372, 7.788080401543369e-05]
[2416, 7.789134003875482e-05]
[9886, 7.789584969838644e-05]
[2161, 7.790536531814591e-05]
[4092, 7.790977104251528e-05]
[7106, 7.791446667719718e-05]
[7240, 7.791898346356527e-05]
[4112, 7.79226939695612e-05]
[3379, 7.792537027825697e-05]
[8594, 7.793033025313328e-05]
[5007, 7.794895892566733e-05]
[3841, 7.79511345888609e-05]
[5211, 7.795114186999992e-05]
[10290, 7.796245577677027e-05]
[8920, 7.796491593047625e-05]
[9296, 7.796889038867414e-05]
[4632, 7.797095926195032e-05]
[1557, 7.797592752250011e-05]
[7563, 7.798064800391337e-05]
[7800, 7.798308775893046e-05]
[10080, 7.798697620800906e-05]
[8569, 7.799056329595616e-05]
[2884, 7.79909057013949e-05]
[2430, 7.799316064708558e-05]
[6164, 7.800360985455411e-05]
[4518, 7.800398971519011e-05]
[7992, 7.80067600653915e-05]
[8491, 7.800918625500025e-05]
[5355, 7.801366847492664e-05]
[6329, 7.801381110568719e-05]
[1442, 7.801567555227439e-05]
[3177, 7.8017904362974e-05]
[3570, 7.801932583717243e-05]
[5715, 7.802487938352124e-05]
[1464, 7.802997532396354e-05]
[7859, 7.80307574858189e-05]
[4637, 7.80387604553318e-05]
[6381, 7.804867657694647e-05]
[3470, 7.80507748082412e-05]
[5670, 7.80567362332058e-05]
[3927, 7.806309554329989e-05]
[5702, 7.806441483798939e-05]
[2414, 7.80678504936606e-05]
[1332, 7.807363955081209e-05]
[2949, 7.808304033637446e-05]
[9171, 7.808409416560838e-05]
[8968, 7.808676765439242e-05]
[9760, 7.80992732713802e-05]
[3770, 7.809984792024312e-05]
[3261, 7.810688098364755e-05]
[4292, 7.811461682776715e-05]
[5420, 7.811470197396029e-05]
[3599, 7.811729506178392e-05]
[7669, 7.811892274690463e-05]
[10519, 7.812358967278438e-05]
[3289, 7.812822626381835e-05]
[3975, 7.813861288976921e-05]
[1768, 7.816576585855697e-05]
[1154, 7.817101923912031e-05]
[5610, 7.818037675083692e-05]
[2269, 7.818284946841335e-05]
[3518, 7.81829505888931e-05]
[9717, 7.818792043344382e-05]
[3609, 7.819305564583245e-05]
[7386, 7.819897908680825e-05]
[7004, 7.821189462526684e-05]
[6225, 7.823693393385872e-05]
[8461, 7.826378836747055e-05]
[6116, 7.826394815671771e-05]
[2092, 7.82641719081188e-05]
[9094, 7.826531515786446e-05]
[5266, 7.827400996641355e-05]
[807, 7.830506687375251e-05]
[6471, 7.832225053906948e-05]
[7030, 7.834888756669961e-05]
[7433, 7.835847053311327e-05]
[5598, 7.836536034095853e-05]
[10156, 7.83657908001815e-05]
[4900, 7.836822373883832e-05]
[3602, 7.836823470363049e-05]
[7470, 7.837300415415311e-05]
[6072, 7.837852227279569e-05]
[9358, 7.8378881203417e-05]
[9258, 7.839587217634518e-05]
[5996, 7.839656980147555e-05]
[9953, 7.839917525450356e-05]
[2681, 7.83997774435714e-05]
[4714, 7.840089814670056e-05]
[1206, 7.840103358638824e-05]
[1208, 7.840103358638824e-05]
[6920, 7.840138578822465e-05]
[6448, 7.840624914991269e-05]
[3618, 7.842284635383736e-05]
[3582, 7.846451847021358e-05]
[3414, 7.846505824674464e-05]
[1269, 7.848525477391322e-05]
[6790, 7.848861397522934e-05]
[2746, 7.849288473131491e-05]
[2749, 7.849288473131491e-05]
[5029, 7.849305609230911e-05]
[7560, 7.849374801630296e-05]
[4599, 7.850557928387142e-05]
[7434, 7.850657322143147e-05]
[2653, 7.850776694381061e-05]
[3830, 7.851800693405067e-05]
[5897, 7.852705718703683e-05]
[14, 7.854367029356792e-05]
[971, 7.854503038280019e-05]
[5568, 7.856289074453884e-05]
[9000, 7.856467163501474e-05]
[3874, 7.857628434235661e-05]
[8457, 7.858029773595233e-05]
[673, 7.859741235304806e-05]
[9059, 7.860929571020249e-05]
[571, 7.862087569851555e-05]
[9565, 7.862794323333561e-05]
[9566, 7.862794323333561e-05]
